host,size_kb,p25_throughput_mbps,median_throughput_mbps,p75_throughput_mbps,p25_latency_ms,median_latency_ms,p75_latency_ms
localhost,1,1.9093059780123653,1.9482714061350668,1.9872368342577682,0.49122070312500005,0.5012456154336735,0.511270527742347
localhost,2,3.8091460754372743,3.8868837504461986,3.964621425455123,0.49244140625,0.5024912308673469,0.5125410554846939
localhost,5,9.452569831302533,9.645479419696462,9.838389008090392,0.496103515625,0.5062280771683674,0.5163526387117348
localhost,10,18.67537821335511,19.056508380974602,19.437638548594094,0.50220703125,0.5124561543367347,0.5227052774234695
localhost,20,36.464424026121954,37.2085959450224,37.95276786392285,0.5144140625,0.5249123086734694,0.5354105548469388
localhost,50,85.10261227093892,86.83940027646828,88.57618828199764,0.55103515625,0.5622807716836735,0.573526387117347
localhost,100,201.66641468863915,205.78205580473383,209.8976969208285,0.46507031249999997,0.4745615433673469,0.48405277423469384
localhost,200,319.4773398621497,325.99728557362215,332.5172312850946,0.587140625,0.5991230867346938,0.6111055484693877
localhost,500,491.89127174687985,501.92986912946924,511.9684665120586,0.9533515624999999,0.9728077168367346,0.9922638711734694
localhost,1024,622.020725388601,634.7150259067357,647.4093264248704,1.544,1.5755102040816327,1.6070204081632653
localhost,3072,712.4629080118694,727.0029673590504,741.5430267062314,4.0440000000000005,4.126530612244898,4.209061224489796
localhost,5120,733.80195599022,748.7775061124694,763.7530562347188,6.544,6.677551020408163,6.811102040816327
localhost,8192,746.3765300174858,761.6087040994754,776.840878181465,10.294,10.504081632653062,10.714163265306123
localhost,10240,750.6643739252775,765.9840550257933,781.3037361263091,12.794,13.055102040816328,13.316204081632655
localhost,20480,759.3895785561793,774.8873250573258,790.3850715584723,25.294,25.810204081632655,26.32640816326531
localhost,30720,762.3432290839816,777.9012541673281,793.4592792506747,37.794,38.56530612244898,39.336612244897964
localhost,40960,763.8286873185668,779.4170278760886,795.0053684336103,50.294,51.320408163265306,52.346816326530615
localhost,51200,764.7227442112302,780.329330827786,795.9359174443417,62.794000000000004,64.07551020408164,65.35702040816327
localhost,61440,765.3199458124152,780.9387202167502,796.5574946210852,75.294,76.83061224489796,78.36722448979593
localhost,71680,765.7470897783447,781.3745814064742,797.0020730346038,87.794,89.58571428571429,91.37742857142858
localhost,81920,766.0677607832971,781.7017967176502,797.3358326520032,100.294,102.34081632653061,104.38763265306123
localhost,92160,766.3173573062397,781.9564870471834,797.595616788127,112.794,115.09591836734694,117.39783673469388
localhost,102400,766.5171516592974,782.1603588360177,797.8035660127381,125.294,127.85102040816327,130.40804081632652
localhost,307200,767.718109002542,783.385825512798,799.053542023054,375.294,382.9530612244898,390.61212244897956
localhost,512000,767.958752202964,783.6313797989428,799.3040073949217,625.2939999999999,638.0551020408162,650.8162040816326
localhost,1048576,768.1435670244491,783.8199663514787,799.4963656785083,1280.2939999999999,1306.4224489795918,1332.5508979591837
