host,size_kb,p25_throughput_mbps,median_throughput_mbps,p75_throughput_mbps,p25_latency_ms,median_latency_ms,p75_latency_ms
172.18.20.17,1,3.190053483693014,3.253854553366874,3.3202597483335454,0.2941223199450409,0.3001248162704499,0.3061273125958589
172.18.20.17,2,6.377454703834526,6.5050037979112165,6.637758977460424,0.29424463989008176,0.30024963254089976,0.30625462519171776
172.18.20.17,5,15.923777818791004,16.242253375166825,16.573727933843696,0.2946115997252045,0.3006240813522495,0.3066365629792945
172.18.20.17,10,31.781578585938913,32.41721015765769,33.078785875160904,0.295223199450409,0.30124816270449895,0.3072731259585889
172.18.20.17,20,63.300882375465406,64.56690002297472,65.88459186017829,0.296446398900818,0.30249632540899796,0.30854625191717794
172.18.20.17,50,156.31721400451866,159.44355828460905,162.6975084536827,0.30011599725204496,0.3062408135224949,0.3123656297929448
172.18.20.17,100,306.3905627796895,312.5183740352833,318.8963000360033,0.30623199450409,0.3124816270449898,0.31873125958588955
172.18.20.17,200,589.2446014349515,601.0294934636506,613.2954014935211,0.31846398900817996,0.32496325408997956,0.33146251917177916
172.18.20.17,500,1320.9060760901543,1347.3241976119575,1374.8206098081198,0.3551599725204499,0.36240813522494886,0.3696562979294478
172.18.20.17,1024,2291.643234731751,2337.476099426386,2385.179693292231,0.41925562372188135,0.4278118609406953,0.4363680981595092
172.18.20.17,3072,4303.516738831978,4389.587073608617,4479.170483274099,0.6697668711656443,0.6834355828220859,0.6971042944785276
172.18.20.17,5120,5220.075835212133,5324.477351916376,5433.14015501671,0.920278118609407,0.9390593047034765,0.9578404907975461
172.18.20.17,8192,5930.561493191679,6049.1727230555125,6172.625227607665,1.2960449897750512,1.3224948875255624,1.3489447852760736
172.18.20.17,10240,6212.411101540525,6336.659323571336,6465.978901603404,1.546556237218814,1.578118609406953,1.609680981595092
172.18.20.17,20480,6864.921095523482,7002.219517433951,7145.121956565257,2.7991124744376275,2.856237218813906,2.913361963190184
172.18.20.17,30720,7113.989682532754,7256.269476183409,7404.356608350418,4.051668711656442,4.134355828220859,4.217042944785277
172.18.20.17,40960,7245.4266022727525,7390.335134318208,7541.158300324702,5.304224948875255,5.412474437627812,5.520723926380368
172.18.20.17,51200,7326.646158050591,7473.179081211603,7625.69294001184,6.556781186094069,6.690593047034764,6.82440490797546
172.18.20.17,61440,7381.811759271419,7529.4479944568475,7683.1101984253555,7.809337423312884,7.968711656441718,8.128085889570553
172.18.20.17,71680,7421.727122412313,7570.16166486056,7724.654760061796,9.061893660531698,9.246830265848672,9.431766871165646
172.18.20.17,81920,7451.948078666055,7600.987040239376,7756.109224734057,10.314449897750512,10.524948875255625,10.735447852760737
172.18.20.17,92160,7475.623962355876,7625.136441602993,7780.751471023464,11.567006134969326,11.803067484662577,12.039128834355829
172.18.20.17,102400,7494.673264431384,7644.566729720012,7800.578295632665,12.81956237218814,13.08118609406953,13.34280981595092
172.18.20.17,307200,7611.039462539212,7763.260251789996,7921.694134479587,37.87068711656442,38.64355828220859,39.41642944785276
172.18.20.17,512000,7634.747675804818,7787.442629320914,7946.3700299193015,62.9218118609407,64.20593047034765,65.49004907975461
172.18.20.17,1048576,7653.046018872733,7806.106939250187,7965.415244132843,128.55575869120656,131.179345603272,133.80293251533743
